date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,mixed_type_col
01/01/2018 00:15,3.17,2.95,0.0,,73.21,100.0,900.0,Weekday,Monday,Light_Load,649
01/01/2018 00:30,4.0,4.46, 0.0 ,0.0,66.77,100.0,1800.0,Weekday,Monday,Light_Load,
01/01/2018 00:45,3.24,3.28,0.0,0.0,70.28,100.0,2700.0,Weekday,Monday,Light_Load,696
01/01/2018 01:00,3.31,3.56,0.0,0.0,68.09,100.0,3600.0,Weekday,Monday,Light_Load,630
01/01/2018 01:15,3.82,4.5,0.0,0.0,64.72,100.0,4500.0,Weekday,Monday,Light_Load,325
01/01/2018 01:30,3.28,3.56,0.0, 0.0 ,67.76,100.0,5400.0, wEEKDAY ,Monday,Light_Load,300
01/01/2018 01:45,3.6,4.14,0.0,0.0,65.62,100.0,6300.0,Weekday,Monday,Light_Load,625
01/01/2018 02:00,3.6,4.28, 0.0 ,0.0,64.37,100.0,7200.0,Weekday,Monday,Light_Load,419
01/01/2018 02:15,3.28,3.64,0.0,0.0,66.94,100.0,8100.0,Weekday, mONDAY ,Light_Load,663
01/01/2018 02:30,3.78, 4.72 ,0.0,0.0,62.51,100.0,9000.0,Weekday,Monday,Light_Load,838
01/01/2018 02:45,3.46,4.03,0.0,0.0,65.14,100.0,9900.0, wEEKDAY ,Monday,Light_Load,290
01/01/2018 03:00,3.24,3.64,0.0,0.0,66.49,8500.0,10800.0,Weekday,Monday,Light_Load,529
01/01/2018 03:15,3.96, 4.97 ,0.0,0.0,62.32,100.0,11700.0,Weekday,Monday,Light_Load,493
01/01/2018 03:30,3.31,3.74,0.0,0.0,66.27,100.0,12600.0,Weekday,Monday,Light_Load,bad
01/01/2018 03:45,3.31,3.85,0.0,0.0,65.19,100.0,13500.0,Weekday,Monday,Light_Load,13
01/01/2018 04:00,3.89,5.0, 0.0 ,0.0,61.4,100.0,14400.0,Weekday,Monday,Light_Load,418
01/01/2018 04:15,3.28,3.82,0.0,0.0,65.14,100.0,15300.0,Weekday,Monday,Light_Load,510
01/01/2018 04:30,3.56,4.28,0.0,0.0,63.95,100.0,16200.0,Weekday,Monday,Light_Load,872
01/01/2018 04:45,3.74,4.54,0.0,0.0,63.58,100.0,17100.0,,Monday,Light_Load,929
01/01/2018 05:00,3.31,3.6,0.0,0.0,67.68,100.0,18000.0,Weekday, mONDAY ,Light_Load,
,3.56,4.07,0.0,0.0,65.84, 100.0 ,18900.0,Weekday, mONDAY , lIGHT_lOAD ,
01/01/2018 05:30,3.56, 4.1 ,0.0,0.0,65.56,100.0,19800.0,Weekday,Monday, lIGHT_lOAD ,798
01/01/2018 05:45,3.28,3.49,0.0,0.0,68.48,100.0,20700.0,Weekday,Monday,Light_Load,bad
01/01/2018 06:00,3.78,4.32,0.0,0.0,65.85, 100.0 ,21600.0,Weekday,Monday,Light_Load,809
01/01/2018 06:15,3.35,3.64,0.0,0.0,67.72,100.0,22500.0,Weekday,Monday,Light_Load,bad
01/01/2018 06:30,3.24,3.35,0.0,0.0,69.52,100.0,?,Weekday,Monday,Light_Load,214
01/01/2018 06:45,3.89,4.46,0.0,0.0,65.73,100.0,24300.0,Weekday,Monday,Light_Load,unknown
01/01/2018 07:00,3.31,3.53,0.0,0.0,68.4,100.0,25200.0,Weekday,Monday,Light_Load,91
01/01/2018 07:15,3.28,3.49,0.0,0.0, 68.48 ,100.0,26100.0,Weekday,Monday,Light_Load,89
01/01/2018 07:30,3.85,4.75,0.0,0.0,62.97,100.0,27000.0,Weekday,Monday,Light_Load,552
01/01/2018 07:45,3.2,3.6,0.0,0.0, 66.44 ,100.0, 27900.0 ,Weekday,Monday,Light_Load,883
01/01/2018 08:00,3.31,3.78,0.0,0.0, 65.88 ,100.0,28800.0,Weekday,Monday, lIGHT_lOAD ,897
01/01/2018 08:15,3.78,4.75,0.0,0.0,62.27,100.0,29700.0,Weekday,Monday,Light_Load,31
01/01/2018 08:30,3.28,3.74,0.0, 0.0 ,65.94, 100.0 ,30600.0,Weekday,Monday,Light_Load,842
01/01/2018 08:45,3.49,4.46,0.18,0.0,61.63,99.87,31500.0,Weekday,Monday,Light_Load,215
01/01/2018 09:00,3.89,0.0,15.66,0.0,100.0,24.11,32400.0,Weekday,Monday,Light_Load,bad
01/01/2018 09:15,3.6,0.0,16.96,0.0,100.0,20.76,33300.0,Weekday,Monday,Light_Load,603
01/01/2018 09:30,4.03,0.0, ERROR ,0.0,100.0,18.61,34200.0,Weekday,Monday,Light_Load,690
01/01/2018 09:45,3.92,0.0,19.22,0.0,100.0,19.98,35100.0,Weekday,Monday,,
01/01/2018 10:00,3.64,0.0,16.88,0.0,100.0,21.08,36000.0,Weekday,Monday,Light_Load,596
01/01/2018 10:15,4.07,0.0,22.32,0.0,100.0,17.94,36900.0,Weekday,Monday, lIGHT_lOAD ,577
01/01/2018 10:30,3.71,0.0,18.0,0.0,100.0,20.19,37800.0,Weekday,Monday,Light_Load,
01/01/2018 10:45,3.6,0.0, 16.92 ,0.0,100.0,20.81,38700.0,Weekday,Monday,Light_Load,897
 01/01/2018 11:00 ,4.21,0.0,23.4,0.0,100.0,17.71,39600.0,Weekday,Monday,Light_Load,252
01/01/2018 11:15,3.49,0.0,5.65,0.0,,,40500.0,Weekday,Monday,Light_Load,762
