Feature,Importance
NSM,0.36267187677147195
Usage_kWh,0.17140013086490755
Lagging_Current_Power_Factor,0.12671287510035456
Lagging_Current_Reactive.Power_kVarh,0.08022345234783926
CO2(tCO2),0.06663525657039626
Leading_Current_Reactive_Power_kVarh,0.04961673670835359
Leading_Current_Power_Factor,0.046600988258457016
mixed_type_col,0.038169533395981815
Day_of_week_SUNDAY,0.017256273157323636
WeekStatus_WEEKEND,0.009828296272500743
WeekStatus_WEEKDAY,0.009781428142051156
Day_of_week_SATURDAY,0.0052654050628680475
Day_of_week_WEDNESDAY,0.0033223569831554436
Day_of_week_FRIDAY,0.0032673803897229343
Day_of_week_THURSDAY,0.0032338435328923645
